day,price,volume,return
0,100.0,0.0,
1,100.55452331650989,4643.10116103864,0.00552991496225097
2,100.17943410187607,5641.177809981666,-0.003737181850201665
3,99.84737046640257,4809.478171108325,-0.003320194423316103
4,100.0183743556045,4749.638824806147,0.0017111879885316483
5,99.97903901174354,5370.986103720023,-0.00039335853105182395
6,100.1009115614191,4941.1327485005195,0.00121823865308901
7,99.95796255727231,5178.659686066594,-0.0014290696086787236
8,99.61482771818933,5145.85775210598,-0.003438696996015622
9,99.59466203078499,5363.007259373906,-0.0002024570967842365
10,99.34300946840506,5554.302484068506,-0.002529965236984566
11,99.14610329027585,5379.96123753137,-0.001984050812513516
12,98.89843598258969,5158.256935490336,-0.0025011286623231044
13,99.20294756316517,5473.0297118985145,0.00307430281365928
14,99.10654027240666,4799.704099567537,-0.0009722913351817297
15,99.1687792761145,5324.8985297516265,0.0006278038627680615
16,98.90185390883065,4821.380101511369,-0.0026952559759063632
17,98.98320288900993,5518.744132541111,0.0008221842121711731
18,99.0239074005556,5469.662843699567,0.00041114192373647995
19,98.81591275234453,5305.556987183176,-0.002102657843925826
20,98.70553137502714,5018.173798227957,-0.0011176648621162855
21,99.0123452242297,5083.2218287614605,0.0031035544256310388
22,99.39765466810378,4503.294692815434,0.003883976900942443
23,99.12377673418737,5082.9515398927515,-0.0027591792557215555
24,99.37957226346724,4882.439185269944,0.0025772428743211506
25,99.2929404216234,5591.398223907557,-0.0008721070284343213
26,99.41826718377483,5489.158101869881,0.0012613961766847481
27,99.14519587974175,5012.056392414342,-0.0027504705243419636
28,99.33452041767029,5143.813271213431,0.0019077475409670086
29,99.21601826351049,4705.13482061778,-0.0011936725935637327
30,98.82713185240475,4944.777346253528,-0.003927294740718068
31,98.77747015329848,4966.658541422908,-0.0005026370807943437
32,98.882811649341,4743.597965917944,0.001065884405861972
33,98.76905737425902,4824.949485433161,-0.001151057039871617
34,98.38368480562316,5040.679294219577,-0.0039093857400960275
35,98.22989089683051,5605.335145937476,-0.0015644284949285492
36,97.88398495724074,5561.021813121323,-0.003527606568255237
37,97.77805442645337,5400.183775085196,-0.0010827909334967245
38,97.8441369900424,4385.735808942384,0.0006756142094532791
39,97.69380158697584,5087.432865326387,-0.001537659993571694
40,97.56196973389788,5045.5916400979295,-0.0013503505911085512
41,97.65225538218078,4745.21397483165,0.0009249905294206329
42,97.734744675598,5311.270388679601,0.0008443683386696321
43,97.89026458979687,5411.435884406615,0.001589980213124953
44,97.6027760441981,4976.5248845944325,-0.0029411661091227614
45,97.19336946325461,4930.9471548182855,-0.004203442349348663
46,96.97616892729226,5228.385092025812,-0.0022372265841150707
47,97.19485077497384,4637.72962799219,0.002252467340139397
48,97.15576281064367,5179.1264381774245,-0.00040224174378611366
49,97.20864459095334,4879.857359684523,0.0005441508794898908
50,96.81247144867044,4997.41352602198,-0.004083820369355173
51,96.64200230576782,4971.631110315907,-0.001762370067919683
52,96.6582231846625,5306.387350413624,0.0001678309364789854
53,96.57128349067021,5066.023517497139,-0.0008998594609570532
54,96.26370924008033,4899.571521061164,-0.0031900279826224676
55,96.5879263503701,5352.96056653444,0.0033623506977003004
56,97.06222778952649,5399.050102450271,0.004898549032391841
57,96.83619155299037,4752.101518780233,-0.002331492331854257
58,97.2088141003981,5325.130354160345,0.003840583313862389
59,97.59585712929128,5005.349337797238,0.0039736576718878425
60,97.11844101825136,5180.1918746080255,-0.0049037700084904046
61,97.08543791396451,5613.566387981798,-0.0003398810032635424
62,96.76798648395547,5009.291449146788,-0.003275172618318223
63,96.75841708214787,5333.858717032008,-9.889505141469357e-05
64,97.02289430080185,4874.861173815571,0.002729647982917527
65,97.28162215044168,5925.930766742427,0.002663118771273787
66,97.14578730965928,4207.215875324079,-0.0013972810033298089
67,97.12923497438142,5283.974264263717,-0.00017040106466925664
68,97.20171252165827,4370.118650646887,0.0007459187697191894
69,97.22434047986077,4576.72485091966,0.00023276673013050697
70,96.93767861171388,5457.024537630873,-0.0029528130967557686
71,97.06002122278073,4643.252563628285,0.0012612791532067291
72,96.79037594351759,5030.388506809614,-0.002781995364618872
73,96.53605903147194,5375.411710141395,-0.002630960000642446
74,96.60331332108747,5671.601814916468,0.0006964327523135694
75,96.32406650320758,4895.648284233365,-0.0028948406715931796
76,96.64502704528243,4942.842068043586,0.0033265517513756393
77,96.32255047631023,4719.366589774201,-0.003342290692667227
78,95.69604738417458,5055.765889890886,-0.006525464952300553
79,95.52866232158019,4853.711858195122,-0.001750663976454625
80,95.78273227891829,5314.715925209045,0.002656089641044801
81,95.45975537685973,5075.353486420934,-0.003377672117518493
82,95.81014416258978,5271.390914555217,0.003663819331001683
83,95.91754798924984,4780.892257432805,0.0011203789780136475
