constraint_type,constraint_label,wealth_multiplier,run_id,mean_reversion_beta,mean_reversion_alpha,mean_reversion_r2,price_variance,log_deviation_variance,return_volatility,final_price,max_drawdown
buyer_cash_only,Buyer cash only,0.5,0,-0.003437674684867006,-0.008333819619338696,0.27994872422366834,482.7648939475141,0.3187663397870561,0.003665904040226232,13.658662967267304,-0.8648149630455686
buyer_cash_only,Buyer cash only,0.5,1,-0.0025809340911498056,-0.00696198525310729,0.16642015467002902,516.848939843832,0.3148782181330106,0.0035469258159748973,14.138089080098375,-0.8602712886167945
buyer_cash_only,Buyer cash only,0.5,2,-0.002741315050379741,-0.007166607428730736,0.19537471177793264,491.6581536070236,0.30070998944267724,0.003397585211506649,14.107225899401415,-0.8589277410059859
buyer_cash_only,Buyer cash only,0.5,3,-0.002354527082139027,-0.006468110808298953,0.12106330129254472,479.1936274219608,0.28175319488795914,0.003587686298028962,14.803610672833528,-0.8519638932716647
buyer_cash_only,Buyer cash only,0.5,4,-0.0032614246971114495,-0.007736092322600917,0.21403144047316636,488.8967189608124,0.30214951746985286,0.003872724325281664,14.922646642751138,-0.8513497667818302
buyer_cash_only,Buyer cash only,0.5,5,-0.0025683321185251,-0.0067155827081410565,0.16338535608849802,505.9952251600453,0.2933118480665612,0.0034380181707209154,15.069687416267309,-0.8493031258373269
buyer_cash_only,Buyer cash only,0.5,6,-0.0032257335760989864,-0.007786471362058681,0.2416000059597586,489.104064704132,0.3051013678032835,0.0036224974123912988,14.489194077727014,-0.8556164031179486
buyer_cash_only,Buyer cash only,0.5,7,-0.0029035141291358425,-0.007195803305247789,0.18513222513982397,508.89228527346705,0.2986662767631295,0.0036850979515390503,15.015384785370362,-0.8509494387014223
buyer_cash_only,Buyer cash only,0.5,8,-0.002643385577118094,-0.007132716168821916,0.16301190230739482,490.51441013975915,0.3168701329712964,0.0036819878712460994,13.768106392807217,-0.8623189360719279
buyer_cash_only,Buyer cash only,0.5,9,-0.0025167925529192467,-0.006477721480442925,0.14088793600188365,473.31444431135463,0.2662259997609741,0.0034558520127752576,15.700001884916276,-0.8436035415594658
buyer_cash_only,Buyer cash only,0.5,10,-0.003410509278612391,-0.00760769237726227,0.23378737453782472,444.62109075442015,0.25858295693890887,0.00358394489017654,15.940963730876655,-0.8410132639814324
