market_type,experiment,process_interpretation,mean_log_return,std_log_return,lag1_autocorr_log_return,variance_ratio_lag5,positive_return_pct,mean_reversion_beta,log_deviation_variance,price_variance,max_abs_return,max_drawdown,avg_volume,curve_roughness
Unlimited wealth market,Experiment 1,approximately random walk,0.00016794882788694033,0.0023817690622189957,-0.01948175435368483,0.960520315516099,0.524,-0.008829574221663956,0.0005687339029883514,6.38200307717243,0.008272222713896049,-0.030176195261812255,5030.400486120114,0.0025062656641604035
Wealth constrained market,Experiment 2,bounded weakly mean-reverting random process,2.5905501567670796e-05,0.0031411824879993585,0.04414248590579755,0.9843052401044221,0.506,-0.024929874416953574,0.00018501934084585404,1.8117131294688604,0.01053488202942443,-0.05663559646643068,4308.834598765662,
Buyer cash constrained only,Experiment 2A,cash-limited random process,-0.0027244278054420505,0.003270903363085344,0.15349355404932213,1.3608559319943254,0.198,-0.0012717454879729272,0.16970348912839534,499.04885427640704,0.011756531289093708,-0.7496795790092465,4682.2825032671635,
Seller inventory constrained only,Experiment 2B,inventory-limited random process,0.005205191865290459,0.0032632773434826214,0.01631431445461584,1.2026520647628212,0.946,0.00038592740454797405,0.6304999546762687,122207.22666337421,0.014671834118661131,-0.0070086022370268175,4347.539511169019,
Low depth market,Experiment 3,high-volatility random process,-0.00040046463339797356,0.007104233442384956,-0.029243883052374547,0.9514126688503199,0.48,-0.009766682800511971,0.003997853622706917,30.806645046386308,0.028780102195827162,-0.2293335016497291,494.14277052752465,0.024949765170587966
High depth market,Experiment 3,low-volatility random process,1.5283242348292702e-05,0.0005055919101943435,-0.04094347736077021,0.891626446204442,0.522,-0.0054399175954605835,2.022963564077798e-05,0.20343492297110044,0.0016268852225911345,-0.006584335678101905,126189.09873275837,9.999717448323366e-05
Gaussian random walk benchmark,Benchmark,exogenous Gaussian random walk benchmark,1.814977466292227e-05,0.002443851522778556,-0.023282456394293192,1.0262776511816278,0.514,-0.013157748924045053,0.0002052450499329162,1.9948702898064512,0.008905942026918797,-0.06851325560354538,0.0,
