market_depth,run_id,curve_roughness,return_volatility
20,0,0.024740300472108262,0.007957422693102983
20,1,0.02446431177571376,0.007607469372880219
20,2,0.02517379903350692,0.007397034214230224
20,3,0.024513100779287943,0.007757500559275264
20,4,0.025641025641025644,0.007131057203615159
20,5,0.024140255278202603,0.00770375502695748
20,6,0.025408817964902394,0.007428057173058814
20,7,0.024935593656174638,0.00746415817218563
20,8,0.02444142275956,0.00737980036213662
20,9,0.024472256895111573,0.00776661650456784
20,10,0.025641025641025647,0.007843329715540396
20,11,0.025641025641025644,0.007448019004325248
20,12,0.024490221607646398,0.0076822816065468215
20,13,0.025641025641025647,0.0073598575740719185
20,14,0.024574001354002763,0.007761534335688538
20,15,0.02487644048613745,0.007490107398563264
20,16,0.025369899257130523,0.007401872148006753
20,17,0.024543756622633063,0.0075794138505144845
20,18,0.02420897945251125,0.0074409558393985446
20,19,0.025000995967465117,0.007389376629606347
20,20,0.025641025641025647,0.007763318848629356
20,21,0.02511243421495286,0.007738141586090694
20,22,0.025641025641025647,0.007914433123714119
20,23,0.024402155819416058,0.00738473834767545
20,24,0.025641025641025644,0.007638474005128394
20,25,0.025641025641025647,0.007326317387887537
20,26,0.025641025641025644,0.007245424700877062
20,27,0.025641025641025647,0.007419937399584654
20,28,0.024603726252034778,0.007519544908254559
20,29,0.025530888060715216,0.007547621104311261
20,30,0.02564102564102564,0.007962337279994344
20,31,0.023916778758175175,0.007469726615818953
20,32,0.024871355782652767,0.007413891995172091
20,33,0.025561750015639935,0.007398415954150345
20,34,0.023882234384886916,0.00761084880443593
20,35,0.025028144422146237,0.007170307925100503
20,36,0.024476179410436144,0.007549757749788264
20,37,0.025306911272210922,0.007690614542098796
20,38,0.025456393622521688,0.007544517321782467
20,39,0.02564102564102564,0.007889290602725365
20,40,0.02418195077607489,0.007798054323548275
20,41,0.025395698282299574,0.008032381209089464
20,42,0.025641025641025644,0.007304964124827834
20,43,0.024709358069724623,0.007643866137684684
20,44,0.024453130557756782,0.007671676724703116
20,45,0.02432759321117385,0.007349484302863356
20,46,0.025641025641025647,0.007545582152451399
20,47,0.02539212287313497,0.007943313371411761
20,48,0.024148398147170853,0.007624914666882349
20,49,0.02564102564102564,0.0073901203739514375
20,50,0.02479365435621491,0.007959121143634168
20,51,0.025271593407355367,0.007821641769829576
20,52,0.025641025641025644,0.007208851265653717
20,53,0.023714525184850205,0.00768199363500591
20,54,0.024679296434554018,0.00769814398898523
20,55,0.02409395480881126,0.007585613856556551
20,56,0.02501535231047205,0.007915634461388224
20,57,0.025223119849858477,0.007369264660286424
20,58,0.024877127859583188,0.007797069197210221
20,59,0.024932197688130597,0.007663510586104391
20,60,0.02474341182081758,0.007458273678113453
20,61,0.024030639176352852,0.007767379537760995
20,62,0.025200786121615797,0.007812236152259104
20,63,0.024102685914844383,0.007262229118773696
20,64,0.02471263979475604,0.007624891089486716
20,65,0.025543105807414486,0.007868548065157025
20,66,0.025641025641025647,0.00777678084229358
20,67,0.025641025641025647,0.007882541512580268
20,68,0.025474104124073863,0.0076571504869899654
20,69,0.025641025641025644,0.007474385994225378
20,70,0.024872405979931116,0.007511070926765816
20,71,0.025617439966418437,0.008078550252952852
20,72,0.02482134810821605,0.007568057708818586
20,73,0.02521391481027386,0.007679695381793131
20,74,0.02543555080508382,0.0076097821912371666
20,75,0.02546934945794694,0.00780009055656995
