wealth_multiplier,run_id,mean_reversion_beta,mean_reversion_alpha,mean_reversion_r2,price_variance,log_deviation_variance,final_price,volatility
0.5,0,-0.029067251193771397,-0.0002333417706887201,0.01458428780251042,1.7101910082908927,0.00017496344385462491,98.71474370094757,0.003186298345445873
0.5,1,-0.011994349882530597,0.0002139071322519757,0.004152637868319209,3.669837109396333,0.00034777711334130494,97.43284413864515,0.003451340342026364
0.5,2,0.0005841079356294332,0.0001476524028664154,3.0523543806282305e-05,10.475702373676773,0.0010506972592753295,107.35791173424586,0.0034091580616959134
0.5,3,-0.022767928756854777,-0.00030117062923298805,0.011447025632825292,2.354339939412401,0.0002391295585287489,97.88817547937475,0.003292664911278412
0.5,4,-0.015401927352338463,-0.00010406839484583313,0.006082766219218438,2.6218692913671404,0.0002651213746151383,96.54798032212058,0.003205538551429435
0.5,5,-0.013045197423966834,-0.00019928648410100265,0.005067247606755476,3.1496926802932714,0.00032566643670437477,102.11215159810045,0.003294668637917449
0.5,6,-0.017376636117818936,-9.93250715158094e-05,0.008680770266288218,3.2721587990087557,0.0003350377771729034,100.04235168494792,0.0034167928466779275
0.5,7,-0.006323604157228919,-0.0001903337044779875,0.0030769975671841587,8.277723937717852,0.0008845498785050502,100.24015701614437,0.0033896463369825773
0.5,8,-0.012333262514912628,8.810215136617322e-05,0.006078536882953123,4.377675864171308,0.00042774812334871534,99.60842934285968,0.0032739226028089545
0.5,9,-0.01321817453749373,-0.00036256959781969786,0.006003508957273973,3.5552397038293777,0.00036907510174971294,95.14688580336659,0.0032727465757990083
0.5,10,-0.0209877423471089,-0.00039783279534634047,0.009855270813348138,2.4960907560930776,0.0002595834866438054,100.75251156003183,0.003399921494990208
0.5,11,-0.013570349544709107,-0.00014971648718672842,0.006805859149487836,4.116819936513184,0.00041620030686120987,98.3879839695301,0.003358730064632232
0.5,12,-0.01652772948920857,-0.0001585062671123243,0.008369409962223129,3.4867223955508235,0.0003553051633613781,99.1992065668737,0.0034087947914330607
0.5,13,-0.005351856527590153,0.00013919725915886803,0.0022591129326470227,8.839336066356733,0.0008602077255309777,104.2375917332976,0.0033020758027488078
0.5,14,-0.02477909207201223,-0.0004748949521065372,0.011747632017719334,2.2598767875835724,0.0002329057667294398,96.09322810700812,0.0034839284044506816
0.5,15,-0.016659601367585385,-0.000468717831804466,0.008955408954962607,3.5545495193167254,0.0003673064559060638,96.48176378326795,0.0033759923592210695
0.5,16,-0.016954064217135825,-0.00035326833048867306,0.008983097329449019,3.438082543738087,0.0003599611729018476,98.57779870506063,0.0033969982249871323
0.5,17,-0.010306020095592705,-0.0001800759872454061,0.0052704956791292945,5.623487200512154,0.0005896590610934026,99.52299931136719,0.0034498382302376126
0.5,18,-0.03742176233991488,0.0006444603513995792,0.019119560429268656,1.4833672380789502,0.00014337006275545088,100.37868579346214,0.00323980348875065
0.5,19,-0.02030177168535543,0.00044428872315381454,0.007185160808850122,2.1551003553299104,0.00020854241016645764,106.22449094300298,0.0034292728740233738
0.5,20,-0.01663215341381069,-0.00043875375020438874,0.0080759869681728,3.2511339622007127,0.0003362738711016672,95.54839350222164,0.0033911612852801747
0.5,21,-0.00940149412111434,-0.0002147402230018108,0.004488034986287248,5.483545613494007,0.0005624631336625488,96.38103775114097,0.00332875582814548
0.5,22,-0.010920718787330285,8.357042586730904e-05,0.005254464481226573,4.605628271228829,0.00045360930526343606,99.24630638941336,0.003209956376648014
0.5,23,-0.015567054302435181,-3.034392946938616e-05,0.0072154534430456385,3.60562404155988,0.0003609023598977957,101.74108839783621,0.0034805837546953047
0.5,24,-0.020426774044060538,-0.00019598083610783686,0.01004611627549934,2.66961058891811,0.0002709282954407676,98.02576019713872,0.0033559888733641157
0.5,25,-0.014695233659495325,-0.00021943928937688298,0.005604237702288795,2.549268121577805,0.0002623922209245035,102.12031726522167,0.003164690686108374
0.5,26,-0.021206768658249307,-0.0004862286944047687,0.011354537242048823,2.8643223366409902,0.00029716889030510275,97.62700802263956,0.0034340750487523585
0.5,27,-0.011159610498161044,-0.00011234077234447567,0.00561887550174589,5.221666233996086,0.0005301570180964382,99.75570117100182,0.0034309875348931124
0.5,28,-0.01279347387691945,-0.00017636706733145131,0.006549851627153047,4.729583108369254,0.00048042508137372236,99.05318926966481,0.0034682733762596884
0.5,29,-0.019704508511574743,0.0005175530730828563,0.010820445657110267,3.330484744944938,0.00031434361674660607,102.6313541929401,0.0033618049310204837
0.5,30,-0.026633123347090865,-0.00026529550520117487,0.013494323121146401,2.3354702284888726,0.00023878454967112152,99.28681504748465,0.003546296686407732
0.5,31,-0.007111992345405959,-0.00029464482311909366,0.0031177159087861783,5.9997695090053815,0.0006326113616923398,94.1909558086798,0.00320054110265162
0.5,32,-0.013116679916219284,-0.00011499652800315034,0.005778916077891827,4.254002928014059,0.0004284751513642329,96.87704180096411,0.0035687423626586897
0.5,33,-0.03118899944419035,0.0005709634934554679,0.015321915038468359,1.6375213099496042,0.00015747552839788306,99.77807079745777,0.0031565084732448363
0.5,34,-0.030484254769562506,-0.0002473763688917456,0.012844791535882139,1.5361709659613962,0.0001561343347907796,96.46585882158679,0.0033446043852217748
0.5,35,-0.022594596836372317,-2.9640541763339225e-05,0.011227010866148857,2.1864243238908005,0.00021815081818045784,100.41361621079831,0.0031522359575011792
0.5,36,-0.017578348246031255,-0.0002835651123369027,0.006227218530062917,2.0790500587368412,0.0002150924449663234,102.48271208964182,0.0032414632558448626
0.5,37,-0.007469508764899152,-0.00019532106638373313,0.0028668566080458646,6.4244640115455365,0.0006763700990660956,101.89130261986314,0.0036183811506067514
0.5,38,-0.014855928747878937,1.8302546619653938e-05,0.007376340576798257,3.749998782831351,0.00037855787582311874,100.66507897829689,0.003368487253759718
0.5,39,-0.0056789447519425005,-2.8500622453691494e-05,0.0025654540602265685,8.724123496570716,0.0008727404305276747,97.93986997177001,0.0033135762377493596
0.5,40,-0.03770947149103662,-0.0004389838740201778,0.018486599062284337,1.3528336026872676,0.00013793830430720898,97.54548645406982,0.0032556287252530534
0.5,41,-0.022713186153310937,0.0005132063917534325,0.011887794430827547,2.8017004628495408,0.0002654816349193757,100.7387711958239,0.0033949372488553484
0.5,42,-0.011800288082646443,8.034882027824275e-05,0.005631442225150218,4.533134914829415,0.00044126583104178745,101.98317314340345,0.0033045407518850624
0.5,43,-0.009971375538697673,-0.0001924802586560144,0.004435034222337375,5.106400424776361,0.0005185525436633198,96.15114966836789,0.003407924278364226
0.5,44,-0.029531539077927316,-0.0004059483117418373,0.014980119150505566,1.8533832247228903,0.0001905595769028955,97.93648168895021,0.0033328327224462374
0.5,45,-0.006156608235933729,0.00010465443360133484,0.003135957531764433,9.234618344140985,0.000892976557251069,101.71776802446107,0.003288487183234182
0.5,46,-0.010834413090977874,6.039156192320694e-05,0.00505559903833086,5.543901603283687,0.0005523866684336779,102.24705769390684,0.0035820966948766826
0.5,47,-0.019535241148873055,0.0004470257091672649,0.010410832404523673,3.0462318995373554,0.0002940636646449096,101.08916105516245,0.0032851480289192198
0.5,48,-0.00839214201555448,-3.943040169159017e-05,0.00419776904070579,6.741336542276136,0.000682036689618009,99.39029815704956,0.003386077556105146
0.5,49,-0.01361191122456494,-8.296249508525373e-05,0.004627389819118699,2.728365252037005,0.00028064818782542274,103.3179627546245,0.003332885367732444
0.5,50,-0.01247488747387481,0.00012121985637664448,0.006203740940213254,4.496858049069551,0.00043814791327399154,101.62641471296239,0.003317987324045922
0.5,51,-0.020230732775410872,0.00011620396770980022,0.01002132042749826,2.8380584492417555,0.0002790001663277021,99.66029888922795,0.0033778965793594407
0.5,52,-0.03671594645054363,-0.0004901890366259167,0.017650226781181444,1.6583273566150056,0.0001695020873608868,96.91912350032212,0.0035934577143513936
0.5,53,-0.038215992993445386,-0.000124383661233395,0.019104850703727805,1.3142225879414668,0.0001329007238370646,99.39889493645484,0.003190366573135141
0.5,54,-0.014752284048103068,0.00036893663276315285,0.00797306597934333,4.649193428504584,0.0004460769951149265,102.02363427045168,0.0034928607654281475
