regime,group,inflow_per_period,run_id,mean_log_return,std_log_return,t_stat_mean_return,p_value_one_sided_positive,lag1_autocorr,variance_ratio_lag5,final_price,positive_return_pct,zero_trade_periods,avg_volume,avg_cash,cash_gini_end,share_gini_end,avg_cash_constrained_ratio,avg_share_constrained_ratio
tight,baseline,0.0,0,-0.009138338555950743,0.013658542221792573,-14.960561589003412,1.0,0.9237284687383587,4.479216330030623,1.0366567877880466,0.2,0.0,3556.0878459210026,200.00000000000037,0.4023594090874816,0.4012644566403603,0.40336935621425246,0.11347619560329313
tight,baseline,0.0,1,-0.009085288814907336,0.013720428380325216,-14.806624707493118,1.0,0.9329960033164811,4.576287842235466,1.0645219003786117,0.212,0.0,3574.440091265721,200.00000000000023,0.41587465573066834,0.4038461012543251,0.4044523401039604,0.11660893692560657
tight,baseline,0.0,2,-0.009094762519346784,0.013666089269546669,-14.880999846674685,1.0,0.9368553006807788,4.577461137359126,1.0594913413653793,0.198,0.0,3565.8746154926157,200.00000000000006,0.42107961638196467,0.4002769833475363,0.40592479967609313,0.11261471916465265
tight,baseline,0.0,3,-0.009313300893791841,0.013778486991984187,-15.114267557492647,1.0,0.9178713626430662,4.5191628316402355,0.949822398409029,0.196,0.0,3562.5657491051556,200.00000000000017,0.40858001628147256,0.4002957804069125,0.39911116526022966,0.11593167937485448
tight,baseline,0.0,4,-0.009182539469793936,0.013635549130975607,-15.05827324100223,1.0,0.9298575919503175,4.500458057224658,1.0139975115680953,0.202,0.0,3542.2064225255863,200.00000000000006,0.41583031544962556,0.39199452754285974,0.4017361081632044,0.11520450913156671
tight,baseline,0.0,5,-0.009079541777313252,0.013831244311308706,-14.678702914691469,1.0,0.9323528813023771,4.516632778722102,1.0675852232192442,0.204,0.0,3571.5651544919992,200.00000000000014,0.4122807102320752,0.39523598352145883,0.40611185929395605,0.11329389447555892
tight,baseline,0.0,6,-0.009143144704223507,0.014231805082304512,-14.365495429797178,1.0,0.9383648415033863,4.589297380106246,1.0341686155016268,0.214,0.0,3594.4957983472927,200.00000000000017,0.41566048717417814,0.4071137313087337,0.39684316031228284,0.11670869439851121
tight,baseline,0.0,7,-0.009130370178636485,0.013816105141686208,-14.777050528928125,1.0,0.926531651484907,4.526497703335409,1.040795262761383,0.22,0.0,3556.7242552529656,200.0000000000002,0.4039703634818386,0.392777031517707,0.4073295699088732,0.11441751065879242
tight,baseline,0.0,8,-0.009235787422503495,0.013867605740007932,-14.89215145688413,1.0,0.9226527876415227,4.550435315531057,0.9873570765752508,0.224,0.0,3591.0158775379173,200.0000000000001,0.39915412587490096,0.3735278488984952,0.3968654390516185,0.11474801878339662
tight,baseline,0.0,9,-0.009171192931073631,0.013975177121862862,-14.674168813620438,1.0,0.9274458665165143,4.524303198665372,1.019766541739314,0.22,0.0,3556.927115850106,200.00000000000023,0.41250052365918166,0.39238246567940327,0.4033323352876339,0.11733255355462721
tight,baseline,0.0,10,-0.009287596285085605,0.013701743706517267,-15.156973510712891,1.0,0.923760873243225,4.503699430536758,0.9621085887629615,0.192,0.0,3591.831167261243,200.0000000000001,0.422092731351982,0.39869595142850733,0.40240627893997927,0.1130270931163605
tight,baseline,0.0,11,-0.009141525890885707,0.013814564429693775,-14.796755564842575,1.0,0.9301925134213227,4.575365219874438,1.0350060173293745,0.214,0.0,3563.636617509486,200.00000000000028,0.41169407653547885,0.3945990369804038,0.40206482123663617,0.11741905305663834
tight,baseline,0.0,12,-0.009216292404150296,0.013456198199282201,-15.315065972567453,1.0,0.9274760761231855,4.532928963046313,0.9970284078591525,0.202,0.0,3551.4012636464545,200.00000000000034,0.3968933864841623,0.3984363283234951,0.40975328766841496,0.11370994476714967
tight,baseline,0.0,13,-0.009105164577605362,0.013672547601863191,-14.89098267178406,1.0,0.933799412404627,4.54679494125097,1.0539952012187417,0.218,0.0,3554.3632533315094,200.00000000000017,0.41759066721306065,0.4155212977173045,0.406020294149974,0.11397653950572462
tight,baseline,0.0,14,-0.009194143354425456,0.01395588640923689,-14.731224468670218,1.0,0.934758278841658,4.592355561327483,1.0081313904016656,0.214,0.0,3617.8289886922307,200.00000000000017,0.3927460290890433,0.3945563133770818,0.3958179354459462,0.11857443524636054
tight,baseline,0.0,15,-0.009174488740002231,0.013573703025111244,-15.113621127189242,1.0,0.9392740948312601,4.577620895524089,1.018087447775835,0.196,0.0,3581.7990482489167,200.00000000000028,0.40385688950055043,0.3924953281573955,0.39849974357325096,0.11190066291511318
