constraint_type,constraint_label,wealth_multiplier,n_runs,mean_beta,std_beta,beta_ci_lower,beta_ci_upper,mean_log_deviation_variance,mean_price_variance,mean_return_volatility,mean_final_price
buyer_cash_only,Buyer cash only,0.5,100,-0.0029970919449135848,0.0003188992183948817,-0.0030595961917189818,-0.002934587698108188,0.2928214276131574,484.6051727864887,0.0036385945534118834,14.846119834178863
buyer_cash_only,Buyer cash only,1.0,100,-0.0014005904719757293,0.00036721998871603424,-0.001472565589764072,-0.0013286153541873867,0.15525580785262838,462.2081431480455,0.003235655316876692,27.14179278359567
buyer_cash_only,Buyer cash only,2.0,100,0.0003680602468506584,0.0005460370199365697,0.0002610369909430907,0.00047508350275822606,0.055567479382117604,284.7938202155902,0.003115082386485,47.72015175128197
buyer_cash_only,Buyer cash only,5.0,100,0.001811541571610584,0.002739359362853325,0.0012746271364913323,0.002348456006729836,0.0033856613567084344,29.24170530712074,0.003078104434727672,84.7440026718593
buyer_cash_only,Buyer cash only,10.0,100,-0.01038158909367097,0.009410181100218741,-0.012225984589313843,-0.008537193598028098,0.0007455233456728786,7.582107802404417,0.0030744627824147823,99.29633412817711
seller_inventory_only,Seller inventory only,0.5,100,0.0002473251529781959,0.00013152920837849804,0.00022154542813601025,0.00027310487782038147,1.9641859263395105,8384677.320185303,0.003484078312392323,11576.817196462955
seller_inventory_only,Seller inventory only,1.0,100,0.0006930744496238751,0.00020406274453840548,0.0006530781516943477,0.0007330707475534026,0.5820523523388682,102823.90444724573,0.003338158163607483,1258.2189086431006
seller_inventory_only,Seller inventory only,2.0,100,0.0015556473221358883,0.00038021331089344663,0.001481125513200773,0.0016301691310710038,0.12067160380299388,3705.3028933197593,0.003202331064623481,303.76781711675693
seller_inventory_only,Seller inventory only,5.0,100,0.0015058523777213147,0.003502026928772928,0.0008194550996818208,0.0021922496557608088,0.003615746617145391,43.14418412150364,0.003093480811052197,118.52074279732331
seller_inventory_only,Seller inventory only,10.0,100,-0.009349556344642402,0.007774239538826651,-0.010873307294252425,-0.007825805395032378,0.0008652013179845778,8.610392921356839,0.003071519760854332,100.16003506409997
both_constraints,Both constraints,0.5,100,-0.019077498647979266,0.009754022624771656,-0.02098928708243451,-0.017165710213524022,0.0003441148261498105,3.4117096372752598,0.0033402345874457046,99.52922679626367
both_constraints,Both constraints,1.0,100,-0.014006638223422479,0.01016270211712315,-0.015998527838378615,-0.012014748608466342,0.0004989875520429619,4.971449940232317,0.003229131475557788,99.94224658569756
both_constraints,Both constraints,2.0,100,-0.011185006336588652,0.009464418269780481,-0.013040032317465627,-0.009329980355711677,0.0006882413920598125,6.786958510395481,0.0031253512847043397,99.43807263323984
both_constraints,Both constraints,5.0,100,-0.010071474199272209,0.008318502145364209,-0.011701900619763594,-0.008441047778780823,0.0007889934552743997,7.77678074212006,0.0030772749654229435,99.72403617789371
both_constraints,Both constraints,10.0,100,-0.010115136544121914,0.008116218759814404,-0.011705915421045538,-0.008524357667198291,0.000734360914513945,7.421795316550575,0.0030671363055770513,99.91502102777699
