regime,group,n_runs,inflow_per_period,mean_log_return,std_log_return,mean_log_return_ci95_lower,mean_log_return_ci95_upper,lag1_autocorr,variance_ratio_lag5,positive_return_pct,final_price_mean,final_price_std,zero_trade_periods,average_trading_volume,avg_cash_constrained_ratio,avg_share_constrained_ratio,mean_cash_gini_end,mean_share_gini_end,mean_log_return_diff_vs_baseline,welch_t_stat_mean_return,welch_p_value_mean_return,cohens_d_mean_return,final_price_diff_vs_baseline,welch_p_value_final_price
loose,baseline,100,0.0,-7.922138022108704e-07,0.0032310364408848517,-1.2718572515608688e-05,1.1134144911186948e-05,0.014511641379875189,1.0345413121225067,0.5008400000000001,100.00617202639334,3.039517079331566,0.0,4322.42689100041,0.17277902809577536,0.17376518251212597,0.3755230053022515,0.37614048789097415,0.0,,,,0.0,
loose,inflow,100,10.0,0.00035749208212290174,0.0032048002424706775,0.00034458666558364226,0.0003703974986621612,0.008979684846996022,1.0270152691456875,0.5457800000000002,119.63595317127242,3.9472139618447093,0.0,4336.123319041557,0.1612050080213166,0.17919545049273425,0.36485374133202475,0.38602214262401596,0.0003582842959251126,39.96260329150637,0.0,5.6515655562584,19.629781144879075,0.0
tight,baseline,100,0.0,-0.009155447024741921,0.013720344501748766,-0.00916734429854562,-0.009143549750938222,0.9298081572106134,4.529422256395439,0.20210000000000006,1.0282938064371272,0.031040685819501986,0.0,3564.232709705742,0.4040216780089838,0.11492785186297226,0.40802806019676313,0.39421262471216134,0.0,,,,0.0,
tight,inflow,100,10.0,-0.003327069538036976,0.012052987592184768,-0.0033417269540644353,-0.0033124121220095165,0.9181456008206231,4.368303130563172,0.5334000000000001,18.959905057814,0.7076021227837587,0.0,3971.6569396382033,0.23778412137442342,0.16869317199192996,0.3000775370202164,0.4459137853162167,0.005828377486704945,605.1235488806161,0.0,85.57739297383058,17.931611251376875,0.0
