day,price,volume,return
0,100.0,0.0,
1,100.12206261417779,12181.501047177566,0.001219881783349308
2,100.24344412694948,12838.508647896488,0.0012116010344760397
3,99.93937111467434,12280.259648550784,-0.003037955538490955
4,99.74725450325761,12749.758612492946,-0.0019241816531057054
5,99.70170306969499,13019.819800904097,-0.0004567728496445156
6,99.98179127137614,12524.31661858811,0.0028053233572737923
7,100.15502355517842,12376.605037709538,0.0017311390432084295
8,99.99605980384248,13104.325151793679,-0.0015884379149193606
9,99.86081342490827,13497.171221481054,-0.0013534325579547257
10,99.90162717215918,12293.755310790766,0.00040862283917686426
11,100.0473183202882,12786.735215123794,0.0014572837436439556
12,99.97449697427817,12548.712079624982,-0.0007281340699778482
13,99.7839956742008,13757.432695542982,-0.0019073167333516494
14,99.90634333677271,13037.912118439912,0.0012253740314838169
15,100.05567052372191,12522.156585723807,0.001493555819178205
16,100.19403621748464,11592.853807648866,0.0013819317694352407
17,100.08846081497379,13306.369119629222,-0.001054264989241105
18,100.13030389416717,11835.043635346632,0.0004179736086511454
19,99.9657476426961,13756.769105064435,-0.0016447729708284342
20,100.00354894870138,12517.90868023674,0.00037807110491350215
21,99.7103271785515,12590.144349046252,-0.0029364207087612115
22,99.81835135731914,12838.785495468312,0.0010827936125741289
23,99.94886027975595,12785.915328629053,0.001306610228322569
24,100.14496707186876,13312.53121552902,0.0019601489710927567
25,100.33952545853333,11184.768025891111,0.0019408827613993651
26,100.09941629266615,12562.993078427115,-0.0023958346479187043
27,100.13004078106891,12926.409886953255,0.0003058939387754478
28,99.8730067958917,11775.212649377865,-0.0025703021008736116
29,100.08252313507099,12944.907497737628,0.0020956301226453533
30,100.23931558080302,13806.79897692211,0.0015654057366418783
31,100.06333102280294,12899.251147958505,-0.001757186999437721
32,100.21893726102428,13352.29224395598,0.001553869654703277
33,100.23441081641766,11699.108582598104,0.00015438560216196606
34,100.13347108579148,12490.401866004077,-0.0010075441054420153
35,100.00387555550233,12337.987585615476,-0.0012950661191135637
36,99.9956464518195,12646.813665521478,-8.229123354830392e-05
37,100.09829367189627,12244.551380793007,0.0010259903824945127
38,99.92010984281617,12799.610844557601,-0.001781674816758283
39,99.83774899137298,11933.084088281446,-0.0008246069175026349
40,99.88601901751974,12877.059579753044,0.0004833678792239837
41,99.93072167656454,12975.930449760677,0.00044743658249402074
42,99.99996587216523,13015.97918178911,0.0006926820411443657
43,100.05924410210012,12398.542088482773,0.0005926068755073288
44,100.07008119747755,12394.96702693357,0.00010830092363356414
45,99.89438224662743,12334.732559999873,-0.0017573022029893082
46,100.02962766531739,11195.451780641286,0.001352968454168213
47,100.01777689504678,12971.284128497256,-0.0001184796204736216
48,100.05655991969559,12425.091871774172,0.0003876861545766275
49,99.6194813417255,12775.218899534942,-0.004377884029463708
50,99.60650490088253,11942.55587835507,-0.00013026855688913486
51,99.7000091658025,13018.813085782742,0.0009382961938593226
52,99.78186991892991,13388.50377168762,0.0008207337738967979
53,100.06238800860504,12275.907575210242,0.00280736886635502
54,100.05810712900916,12871.812228729332,-4.2783020235859226e-05
55,100.40745558642573,12373.25929647644,0.00348537480788913
56,100.41547193011448,12773.983998008804,7.9834945064583e-05
57,100.68283527981487,12107.875742272792,0.0026590328973084
58,100.68406126658684,12909.108210119057,1.2176646638550892e-05
59,100.78819149774162,13848.969656297426,0.0010336931165282337
60,100.77424950738555,13098.932621573033,-0.0001383391698253078
61,100.78946033829479,12524.41717910027,0.00015092826927709524
62,100.74751526233578,13908.033961528066,-0.0004162519204191639
63,100.60815155989157,12394.703560122482,-0.00138425430877831
64,100.8993835848942,12517.332688915109,0.002890534367047337
65,100.79421428328743,12196.811533812279,-0.0010428621656801695
66,100.77221679303774,11957.858776538986,-0.00021826541472691474
67,100.74237540008508,12419.747350104999,-0.00029617103998358374
68,100.53362438721692,12976.012513525848,-0.0020742769921584525
69,100.34236132523267,11102.135653595875,-0.0019042905412947064
70,100.5179305067839,12631.070037578786,0.0017481725697310324
71,100.44478029725245,13176.034878251743,-0.0007279978705447832
72,100.37516112439589,12589.359336282041,-0.0006933492276983699
73,100.3578268292713,12215.269584198953,-0.00017270998000284976
74,100.33333394677402,11842.574717284313,-0.00024408531520947463
75,100.01255117574495,12180.690531748005,-0.003202292325193312
76,100.04049168184817,12877.431803147927,0.00027933098028132264
77,100.10725971198991,12748.348505407728,0.0006671874368162634
78,100.25856523728389,12866.356024010029,0.0015102930261958747
79,100.04036382111502,12243.791959084601,-0.0021787585536401366
80,100.13735622054013,12768.167317083715,0.0009690629606060597
81,99.88175755259658,12911.548230178405,-0.0025557438211691874
82,99.93448191293716,13014.612374333401,0.0005277284939921856
83,100.01593072686006,12005.088056006887,0.0008146901759547021
84,99.92096728418804,12165.200420590127,-0.00094993421182199
85,99.8568277859478,11679.278919781653,-0.0006421084027019575
86,100.08334394938274,12104.554435269492,0.0022658404099651364
87,100.11213627897989,12453.285399574053,0.0002876421561852638
88,99.9228662653412,12673.945709229201,-0.0018923695124710704
89,99.91776000549442,13264.861282486841,-5.110332111346594e-05
90,99.94090805975945,12075.675854530939,0.0002316442373269112
91,99.90338081765601,12792.752682915323,-0.0003755648235470588
92,99.87219664860181,11819.571789861242,-0.0003121920076818441
93,99.57014637246397,13397.351793041993,-0.0030289506480274397
94,99.81631152524392,13249.247467484149,0.0024692276541706804
95,99.81294284148754,12918.290074412014,-3.374939977973668e-05
96,100.03326950599363,12421.101921590696,0.0022049630181575353
97,99.99282313758447,13180.625535501154,-0.0004044109288523501
98,100.0979747779406,12614.77342549723,0.001051039339454718
99,99.96714614432753,12640.839769503562,-0.001307860677148831
100,99.80671220549831,12796.440166882752,-0.0016061558268347653
101,99.70794091288266,12753.696316888578,-0.0009901157548171113
102,100.02241390949344,13181.919471836029,0.003148978098512778
103,100.19949449339674,12143.20240748791,0.001768843694345712
